time,id,data,label,type
1536574148.158083,501,16303030715908358519,0,Normal
1508687424.839104,1373,5842666253981843457,0,Normal
1536574636.488608,249,141018963332038656,0,Normal
1536575287.177654,969,506092008125759488,1,Fuzzing
1536575246.913425,211,3175644697779507200,1,Fuzzing
1536574819.422898,197,9289544246888256856,0,Normal
1536575131.354028,647,4390912,1,Fuzzing
1536574303.060261,453,3231662432286214083,0,Normal
1536575189.350943,1005,255,1,Replay
1536575087.382308,455,549739036735,1,Fuzzing
1536574249.509096,485,6701263955270042195,0,Normal
1536575186.401637,453,3170582516966950398,1,DoS
1536575003.531966,0,0,1,DoS
1536574297.735855,209,18014948248583936,0,Normal
1508687305.292178,668,915089090750185471,0,Normal
1536575020.067366,564,0,1,Fuzzing
1536575041.57889,1906,18691697672192,1,Fuzzing
1508687463.817468,710,281474976710640,0,Normal
1536574363.802964,209,0,0,Normal
1536574387.259411,249,95138542128201728,0,Normal
1536574958.299336,562,0,1,Fuzzing
1536574222.037298,1017,6034516879653414,0,Normal
1536575097.998587,417,71749213421568,1,Fuzzing
1536574883.939561,499,4226048,0,Normal
1508687546.931732,1373,6000037398052865,1,Fuzzing
1536575017.548126,451,511166361646414851,1,Replay
1536574497.289527,479,9302185030333759488,0,Normal
1536574460.349333,455,63,0,Normal
1536575119.220311,193,15067749484183960536,1,Fuzzing
1536575199.33739,197,1410899620683094961,1,DoS
1536575012.825078,209,18014948248583936,1,Fuzzing
1536574075.49219,249,0,0,Normal
1536574161.608041,500,0,0,Normal
1536574189.631881,241,4299161600,0,Normal
1536574602.863124,455,824600166463,0,Normal
1536574066.208078,500,0,0,Normal
1536574201.019038,249,68116944363978752,0,Normal
1536575345.116084,211,3164188886129774592,1,DoS
1508687551.214629,1274,2560,1,DoS
1508687520.580968,535,18090299669686016,1,Fuzzing
1536574307.38459,451,477388818982371329,0,Normal
1508687295.925799,502,2170878195275268094,0,Normal
1536574367.563614,485,6629462822352847231,0,Normal
1536574618.941506,193,17580012028133471879,0,Normal
1508687403.58449,695,3774873089,0,Normal
1536574247.359614,452,2838043526564939775,0,Normal
1536574177.752527,844,16768308817649467420,0,Normal
1536575207.114389,241,30790624739328,1,Fuzzing
1536574892.519319,419,9223372036854775808,0,Normal
1536574362.563346,389,7124,0,Normal
1508687332.033627,1649,2,0,Normal
1536575061.222739,197,6024991517646277904,1,Fuzzing
1508687493.576487,144,0,1,Fuzzing
1536574617.074089,241,4299161600,0,Normal
1536574719.477386,197,10443453254935292757,0,Normal
1536575161.19913,209,54044294989806848,1,Fuzzing
1536574270.717378,209,54044294989806848,0,Normal
1536574608.191503,501,16285016317398876436,0,Normal
1536574399.123064,489,4503659757568000,0,Normal
1536574223.564403,481,136416,0,Normal
1536575202.853414,500,0,1,Fuzzing
1508687451.985379,198,9221260074734365863,0,Normal
1536575325.131386,500,0,1,DoS
1536574373.911955,479,9302185030333759488,0,Normal
1536574577.413525,389,6151,0,Normal
1536574160.981663,419,9223372036854775808,0,Normal
1536574327.38458,209,36029621619195392,0,Normal
1536575269.068388,499,15360,1,DoS
1536574749.294023,485,6629345243210711580,0,Normal
1536574564.066839,381,37539138179047,0,Normal
1536575197.087205,201,9515618984817332224,1,Fuzzing
